,ds,yhat
0,2021-01-01,217039.94695860916
1,2021-01-02,332637.02272673167
2,2021-01-03,305663.24584167905
3,2021-01-04,198809.1171549597
4,2021-01-05,224969.83716550472
5,2021-01-06,217456.12763421668
6,2021-01-07,201000.33224542675
7,2021-01-08,217135.4230604146
8,2021-01-09,331744.47604986187
9,2021-01-10,304808.14469902194
10,2021-01-11,196993.38126566002
11,2021-01-12,223285.62427672584
12,2021-01-13,217346.1848805604
13,2021-01-14,200762.25935339933
14,2021-01-15,217230.8991622193
15,2021-01-16,330851.929373089
16,2021-01-17,303953.0435559656
17,2021-01-18,195177.6453762153
18,2021-01-19,221601.4113879939
19,2021-01-20,217236.24212690655
20,2021-01-21,200524.18646145726
21,2021-01-22,217326.37526361414
22,2021-01-23,329959.3826963133
23,2021-01-24,303097.9424128133
24,2021-01-25,193361.90948661813
25,2021-01-26,219917.1984992621
26,2021-01-27,217126.29937333876
27,2021-01-28,200286.11356947172
28,2021-01-29,217421.85136534198
29,2021-01-30,329066.83601944137
30,2021-01-31,302242.8412697549
